Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,campeão,rebaixou,Liberta
7,Athletico Paranaense,7,4,8,2,25,25,23,1.3160,1.2110,0.4386,1.1820,1.0875,0,0,0
8,Fluminense FC,6,7,6,-2,25,18,20,0.9470,1.0530,0.4386,0.8511,0.9456,0,0,0
9,Atlético Goianiense,6,7,6,-4,25,15,19,0.7890,1.0000,0.4386,0.7092,0.8983,0,0,0
10,SC Internacional,5,9,5,0,24,23,23,1.2110,1.2110,0.4211,1.0875,1.0875,0,0,0
11,Cuiabá EC,5,9,5,0,24,19,19,1.0000,1.0000,0.4211,0.8983,0.8983,0,0,0
12,Ceará SC,5,9,5,-1,24,20,21,1.0530,1.1050,0.4211,0.9456,0.9929,0,0,0
13,EC Juventude,5,8,6,-5,23,16,21,0.8420,1.1050,0.4035,0.7565,0.9929,0,0,0
14,São Paulo FC,5,8,6,-5,23,15,20,0.7890,1.0530,0.4035,0.7092,0.9456,0,0,0
15,Santos FC,5,7,7,-5,22,20,25,1.0530,1.3160,0.3860,0.9456,1.1820,0,0,0
16,EC Bahia,6,3,10,-8,21,24,32,1.2630,1.6840,0.3684,1.1348,1.5130,0,1,0
17,América Mineiro,4,7,8,-7,19,15,22,0.7890,1.1580,0.3333,0.7092,1.0402,0,0,0
18,Grêmio FBPA,4,5,10,-7,17,15,22,0.7890,1.1580,0.2982,0.7092,1.0402,0,1,0
19,Sport Recife,3,8,8,-6,17,8,14,0.4210,0.7370,0.2982,0.3783,0.6619,0,1,0
20,Chapecoense,0,7,12,-16,7,15,31,0.7890,1.6320,0.1228,0.7092,1.4657,0,1,0
