Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,campeão,rebaixou,Liberta
10,Santos FC,6,8,5,0,26,23,23,1.2110,1.2110,0.4561,0.9850,0.9850,0,0,0
11,Náutico,7,3,9,-5,24,24,29,1.2630,1.5260,0.4211,1.0278,1.2420,0,0,0
12,SC Corinthians,6,6,7,0,24,20,20,1.0530,1.0530,0.4211,0.8565,0.8565,0,0,1
13,AA Ponte Preta,6,5,8,-5,23,21,26,1.1050,1.3680,0.4035,0.8994,1.1135,0,0,0
14,Associação Portuguesa de Desportos (SP),5,7,7,-4,22,17,21,0.8950,1.1050,0.3860,0.7281,0.8994,0,0,0
15,Coritiba FC,5,4,10,-6,19,31,37,1.6320,1.9470,0.3333,1.3276,1.5846,0,0,0
16,EC Bahia,3,8,8,-9,17,15,24,0.7890,1.2630,0.2982,0.6424,1.0278,0,0,0
17,SE Palmeiras,4,4,11,-5,16,18,23,0.9470,1.2110,0.2807,0.7709,0.9850,0,1,0
18,Atlético Goianiense,3,7,9,-13,16,20,33,1.0530,1.7370,0.2807,0.8565,1.4133,0,1,0
19,Sport Recife,3,6,10,-13,15,13,26,0.6840,1.3680,0.2632,0.5567,1.1135,0,1,0
20,Figueirense FC,3,5,11,-15,14,18,33,0.9470,1.7370,0.2456,0.7709,1.4133,0,1,0
1,Cruzeiro EC,12,4,3,24,40,42,18,2.2110,0.9470,0.7018,1.7464,0.7484,1,0,1
2,Botafogo FR,10,6,3,11,36,32,21,1.6840,1.1050,0.6316,1.3306,0.8732,0,0,1
3,Grêmio FBPA,10,4,5,7,34,26,19,1.3680,1.0000,0.5965,1.0811,0.7900,0,0,1
4,Clube Atlético Paranaense,9,7,3,10,34,34,24,1.7890,1.2630,0.5965,1.4137,0.9979,0,0,1
5,SC Corinthians,7,9,3,11,30,19,8,1.0000,0.4210,0.5263,0.7900,0.3326,0,0,0
6,SC Internacional,7,9,3,5,30,32,27,1.6840,1.4210,0.5263,1.3306,1.1227,0,0,0
7,Santos FC,7,8,4,7,29,23,16,1.2110,0.8420,0.5088,0.9563,0.6653,0,0,0
8,Coritiba FC,7,7,5,3,28,23,20,1.2110,1.0530,0.4912,0.9563,0.8316,0,0,0
9,Goiás EC,6,8,5,-3,26,19,22,1.0000,1.1580,0.4561,0.7900,0.9148,0,0,1
10,Atlético Mineiro,6,7,6,0,25,22,22,1.1580,1.1580,0.4386,0.9148,0.9148,0,0,0
11,CR Vasco da Gama,6,6,7,-3,24,29,32,1.5260,1.6840,0.4211,1.2058,1.3306,0,1,0
12,Criciúma EC,7,2,10,-6,23,25,31,1.3160,1.6320,0.4035,1.0395,1.2890,0,0,0
13,EC Vitória,6,5,8,-4,23,23,27,1.2110,1.4210,0.4035,0.9563,1.1227,0,0,1
14,EC Bahia,6,5,8,-6,23,18,24,0.9470,1.2630,0.4035,0.7484,0.9979,0,0,0
15,Fluminense FC,6,4,9,-4,22,22,26,1.1580,1.3680,0.3860,0.9148,1.0811,0,0,0
16,CR Flamengo,5,7,7,-4,18,19,23,1.0000,1.2110,0.3158,0.7900,0.9563,0,0,0
17,São Paulo FC,4,6,9,-5,18,17,22,0.8950,1.1580,0.3158,0.7069,0.9148,0,0,0
18,Associação Portuguesa de Desportos (SP),4,7,8,-6,15,26,32,1.3680,1.6840,0.2632,1.0811,1.3306,0,1,0
19,AA Ponte Preta,4,3,12,-14,15,20,34,1.0530,1.7890,0.2632,0.8316,1.4137,0,1,0
